// Reference=Talairach
// Beauregard M, 1998: Primed - Unprimed Semantic Category Decision
// Beauregard M, 1998: Unprimed Semantic Category Decision - Baseline
// Subjects=13
-52.41	-22.86	-19.42
29.95	-8.61	-14.62
-1.32	-70.64	6.23
-24.94	-60.08	41.1
-1.51	-18.83	55.5
5.94	-22.93	58.87
-20.87	-85.02	-13.2
-23.96	-9.5	58.69
21.19	-88.5	-8.48
-20.99	9.42	46.7
-33.72	-24.07	-17.5
7.1	7.57	44.17

// Binder J R, 1996: Words > Tones - Active
// Subjects=12
-45	32	3
-53	-12	-10
-46	15	30
-57	-34	-11
-45	-74	29
-45	-35	-11

// Buckner R L, 1998: Recognition - Fixation, Increases
// Subjects=26
31	-87	0
18	-93	-3
-12	-90	-9
31	-77	-3
-28	-90	-3
-34	-52	-15
-34	-80	3
18	-80	0
-31	-40	-15
12	-93	9
15	-74	-12
-18	-83	-12
21	-96	9
37	-65	-9
37	-15	59
-31	-46	-15
-28	-96	9
-34	-6	59
-28	-74	31
0	-83	12
34	-6	53
46	9	43
34	-3	62
9	-71	12
31	-71	28
-37	6	34
-6	9	50
0	-3	59
9	9	53
40	9	31
31	25	9
12	16	46
-31	-65	43
34	-65	46
46	34	31
-25	-55	43
-28	19	6
25	-55	43
-25	-52	34
37	-55	46
9	-15	12
37	59	12
9	-15	0
-50	22	34
-31	-71	-18
25	-71	-12
-12	-77	-15
-21	-77	-18
-6	-65	-18
6	-71	-28
6	-65	-12
0	-58	-9
0	-49	-18

// Duzel E, 2001: Semantic > Episodic
// Duzel E, 2001: Semantic, Old > New
// Duzel E, 2001: Semantic, New > Old
// Duzel E, 2001: Semantic, Living > Non-living
// Duzel E, 2001: Semantic, Non-living > Living
// Subjects=11
-36.21	25.67	13.3
-43.54	-35.9	-10.67
41.53	27.13	14.76
33.97	2.25	19.48
14.08	-12.45	-21.89
-35.99	3.54	-10.41
-34.56	-52.6	5.92
2.76	28.03	6.98
-5.18	16.78	45.42
-45.38	20.82	5.48
13.77	-42.14	-6.69

// Duzel E, 1999: Semantic - Episodic
// Duzel E, 1999: Semantic Retrieval Old - New
// Duzel E, 1999: Semantic Retrieval New - Old
// Duzel E, 1999: Semantic Retrieval Living - Non-Living
// Duzel E, 1999: Semantic Retrieval Non-Living - Living
// Subjects=11
-36.21	25.67	13.3
-43.54	-35.9	-10.67
41.53	27.13	14.76
33.97	2.25	19.48
14.08	-12.45	-21.89
-35.99	3.54	-10.41
-34.56	-52.6	5.92
2.76	28.03	6.98
-5.18	16.78	45.42
-45.38	20.82	5.48
13.77	-42.14	-6.69

// Kiehl K A, 2002: Congruent vs. Incongruent Terminal Word Endings
// Subjects=28
-45.41	27.93	9.76
-30.37	29.59	-7.85
-45.64	11.63	22.62
-45.38	-48.59	-15.51
-45.35	-55.69	-19.78
-45.26	-40.44	-21.94
20.35	-22.71	63.73
-38.78	-21.71	55.62
-31.44	-25.82	58.95
32.56	29.27	-6.81
32.51	10.63	-8.58
25.25	30	-14.07

// Maddock R J, 2003: Unpleasant vs. Neutral Words
// Maddock R J, 2003: Pleasant vs. Neutral Words
// Subjects=8
-7	24	0
0	55	-14
14	-38	7
-4	-34	62
-7	-21	38
-7	-7	41
-7	-55	24
-55	31	3
-21	55	38
-48	0	-17
-58	-24	-14
-38	24	24
-31	52	3
45	-31	17
48	-10	0
38	-17	-28
34	7	17
48	0	-28
-17	-28	21
21	-21	3
0	-48	-24
-10	-7	7
-17	-45	-3
-10	-3	-7
10	3	10
58	-55	-24
-24	-58	-21
24	-7	-7
-10	24	-10
7	62	-14
-3	58	10
3	10	62
7	28	28
-3	-48	7
0	-38	41
-34	38	21
-55	31	-3
-34	10	-21
-48	17	45
-48	-38	17
-3	-76	-17
3	-34	-28
0	-31	-10
14	-62	-21

// Booth J R, 2002: Visual Meaning - Control
// Booth J R, 2002: Auditory Meaning - Control
// Booth J R, 2002: Visual Meaning - Rhyming
// Booth J R, 2002: Auditory Meaning - Rhyming
// Booth J R, 2002: Meaning - Rhyming
// Subjects=13
-4.14	28.65	39.35
-42.9	15.92	26.68
12.51	-70.22	11.35
18.21	-55.49	4.73
-14.9	12.02	7.87
-56.67	-48.99	-1.32
18.24	-82.66	-5.95
-26.15	-84.96	-9.62
-25.94	-3.91	-1.94
38	18.38	-1.45
10.06	-51.35	-8.52
32.41	-64.13	-22.87
-34.15	-52.34	-25.58
13.03	-71.89	-29.34
-.78	-54.79	-30.65
