// Reference=Talairach
// Lee T M C, 2002: Autobiographic Memory Task-Answer Correctly vs. Feign 
// Memory Impairment
// Subjects=6
13	17	59
34	10	57
52	-4	43
33	44	28
48	31	17
45	-62	46
57	-51	32
61	-44	29
61	-54	0
15	-4	17
-43	6	50
-45	26	33
-23	59	5
-37	45	11
-10	60	18
-25	62	18
-50	-55	44
-58	-44	38
-60	-38	27
-62	5	-12
-15	2	14
0	-27	28

// Andreasen N C, 1999: Conscious Episodic Memory - REST
// Subjects=19
10	-75	-23
34	-55	-32
40	-60	-42
42	-66	-23
-46	-58	-30
0	18	41
-9	15	-15
-47	-55	42
0	40	27
-7	-21	7

// Bystritsky A, 2001: Normal Subjects
// Subjects=6
-38	-36	-8
6	-36	-8
14	-20	-12
-40	22	-12

// Damasio A R, 2000: Sadness - Neutral
// Damasio A R, 2000: Happiness - Neutral
// Damasio A R, 2000: Anger - Neutral
// Damasio A R, 2000: Fear - Neutral
// Subjects=41
1	-41	-26
16	-26	-8
-4	-38	-3
0	-21	0
42	21	0
36	0	13
35	10	15
-35	12	-9
-36	-1	13
8	26	-3
-5	36	6
7	-56	24
-7	17	-12
-1	41	-16
13	0	-3
-20	0	-7
-1	-28	-2
12	-13	-1
-16	-10	-9
23	14	-71
29	17	16
9	36	-10
4	39	7
-7	23	1
-1	38	10
9	-41	9
10	-55	14
0	-52	28
43	-26	21
-12	-1	-4
10	-36	-20
-2	-29	-12
14	-21	-1
-10	-25	-4
-6	-9	0
36	11	2
-37	13	-4
-41	-3	12
1	4	-32
-5	35	9
-12	-2	34
-8	-34	32
-8	-34	32
13	-24	-13
33	3	6
37	-13	29

// Dougherty D D, 1999: Anger vs. Neutral Script
// Subjects=8
-36	24	-16
-44	18	-4
18	34	20
-48	-6	-4
46	8	-20
-36	-12	44
-28	44	16
0	58	-4
0	-52	-28

// Gemar M C, 1996: Sad Mood - Rest
// Gemar M C, 1996: Neutral Recall - Rest
// Subjects=11
-10	20	36
4	-76	4
-10	20	36

// George M S, 1995: Sadness > Neutral
// George M S, 1995: Sadness > Happiness
// George M S, 1995: Happiness > Sadness
// George M S, 1995: Neutral > Rest
// Subjects=11
2	44	12
-14	30	0
26	10	-8
0	12	4
-14	18	-8
-18	-12	12
20	36	8
18	10	-8
-20	-72	16
-40	-80	-4
-22	-96	0
22	-88	0
-12	-96	8
12	-98	8
-14	-98	8

// George M S, 1996: Normal Female Subjects
// Subjects=10
0	36	12
2	44	12
-14	34	0
-12	12	-12
-10	18	-8
22	10	-8
6	12	8
-2	8	4
-18	16	-8
16	-4	0
-16	-12	12
-18	-18	16
6	0	4
-36	24	32
-4	46	32
-8	50	24
-26	0	20
-42	12	4
-6	-44	-8
12	0	12
-4	30	-4
-6	36	-8
-2	38	8
20	12	-4
6	20	12
-18	12	-8
12	26	8
20	34	8
14	-32	24
-42	12	4
-44	18	8
-38	14	32
-38	22	32
20	44	-16

// George M S, 1996: Normal Male Subjects
// Subjects=10
10	18	12
-28	-14	12
-34	10	-12
12	-62	8
10	-56	8
14	-8	24
-26	-14	12
-2	56	24
2	48	24
28	-14	0
26	-56	8

// Kimbrell T A, 1999: Anxious vs. Neutral
// Kimbrell T A, 1999: Anger vs. Neutral
// Kimbrell T A, 1999: Anxious vs. Anger
// Subjects=18
-46	12	-8
-16	22	16
-33	13	-12
-3	-80	16
14	32	32
42	-36	36
44	40	4
-2	-10	4
34	14	40
6	-36	12
42	16	-16
-46	8	-16
-20	34	-8
48	-16	8
48	32	24
38	12	36
-42	-82	4
-18	-78	20
14	-66	8
-40	-24	4
-2	-20	-4
34	22	-8
12	26	32
-36	-18	-12
-10	0	16

// Lane R D, 1997: Happiness During Film & Recall
// Lane R D, 1997: Sadness During Film & Recall
// Lane R D, 1997: Disgust During Film & Recall
// Subjects=12
8	46	24
-4	48	24
-10	-8	40
48	-40	8
-40	-52	16
40	18	-28
-34	8	-20
-6	-4	0
-2	44	28
12	-28	4
-10	-26	4
-50	-58	4
36	10	-20
-32	6	24
6	-12	-8
22	-52	-24
2	-54	-20
12	-10	-4
-10	-20	-4
22	4	-4
-22	4	-4
-10	2	4
-4	46	32
8	-16	0
-4	-20	4
44	18	-24
-34	10	-24
10	-12	-4

// Liotti M, 2000: Sadness > Neutral
// Liotti M, 2000: Anxiety > Neutral
// Subjects=8
34	-22	18
-23	2	10
-2	30	-2
-50	-56	-28
12	-54	-8
50	-8	40
58	-2	14
-24	4	-14
44	15	-3
50	-5	4
39	-16	33
-44	-18	46
-30	-22	43
2	-4	50
-2	-18	49
20	-50	-17
-10	-78	-20
7	-40	-4
-1	-70	3
-9	-70	14

// Mayberg H S, 1999: Normals
// Subjects=8
0	22	-2
32	24	-2
-28	32	-4
34	10	10
-30	2	10
32	-22	20
-36	-16	18

// Pardo J V, 1993: Self-Induced Dysphoria -  Control
// Subjects=7
-43	33	-2
-11	55	24
-27	59	-4
-11	65	14
-39	27	-8
51	39	-8
-23	59	-2
-19	56	27
51	43	-6
-47	35	-4
-9	59	24
-9	67	12
-3	29	48

// Rauch S L, 1999: Sexual Arousal - Neutral
// Rauch S L, 1999: Competitive Arousal - Neutral
// Subjects=8
12	32	24
-40	18	-20
24	-16	0
-2	-38	-16
-30	-12	0
4	22	28
-48	16	-24
22	-16	0
-38	-16	44

// Reiman E M, 1997: Recall-Generated Emotion minus Recall-Control
// Subjects=12
2	42	28
-16	-22	0
16	-18	0
-34	18	0
44	14	0
-44	16	-16
44	22	-12

// Shin L M, 2000: Guilt - Neutral
// Subjects=8
44	4	-24
46	12	-28
-44	20	-20
12	34	24
-44	16	-4
-14	-10	44
20	-50	-24
-32	-14	44

// Markowitsch H J, 2003: Sad > Happy
// Markowitsch H J, 2003: Happy > Sad
// Markowitsch H J, 2003: Sad > Fixation
// Markowitsch H J, 2003: Happy > Fixation
// Subjects=13
-49.61	21.64	3.12
49.63	30.64	1.38
58.85	-27.25	-8.56
